qid,en_label,ja_label,id_label,prefix,cleaned_input,tokiponized,toki_pona_label
Q65260948,Afuchi Shrine,安布知神社,Kuil Afuchi,Kuil,afuchi,Apusi,tomo sewi Apusi
Q135186246,Afukako Shrine,多気町井内林,Kuil Afukako,Kuil,afukako,Apukako,tomo sewi Apukako
Q135039287,Afukakotano- Shrine,相鹿木大御神社,Kuil Afukakotano-,Kuil,afukakotano,Apukakotano,tomo sewi Apukakotano
Q135039277,Afukamuyamano Shrine,相鹿牟山神社 二座,Kuil Afukamuyamano,Kuil,afukamuyamano,Apukamujamano,tomo sewi Apukamujamano
Q135039281,Afukano- Shrine,相鹿上神社,Kuil Afukano-,Kuil,afukano,Apukano,tomo sewi Apukano
Q11451153,Afuku Kahaku Shrine,安福河伯神社,Kuil Afuku Kahaku,Kuil,afukukahaku,Apukukapaku,tomo sewi Apukukapaku
Q134596594,Afuri Shrine,天降神社,Kuil Afuri,Kuil,afuri,Apuli,tomo sewi Apuli
Q134598761,Afuri Shrine,阿夫利神社,Kuil Afuri,Kuil,afuri,Apuli,tomo sewi Apuli
Q134602873,Afuri Shrine,阿夫利神社,Kuil Afuri,Kuil,afuri,Apuli,tomo sewi Apuli
Q11657692,Aga Shrine,阿賀神社,Kuil Aga,Kuil,aga,Aka,tomo sewi Aka
Q11616983,Aga Shrine,英賀神社,Kuil Aga,Kuil,aga,Aka,tomo sewi Aka
Q11608139,Agata Shrine,縣神社,Kuil Agata,Kuil,agata,Akata,tomo sewi Akata
Q11608137,Agata Shrine,縣神社 (大網白里市),Kuil Agata,Kuil,agata,Akata,tomo sewi Akata
Q11608138,Agata Shrine (Gero City),縣神社,Kuil Agata (Gero),Kuil,agata,Akata,tomo sewi Akata
Q11608141,Agata Shrine (Gifu),縣神社 (岐阜市),Kuil Agata (Gifu),Kuil,agata,Akata,tomo sewi Akata
Q112669207,Agatai Shrine,縣居神社,Kuil Agatai,Kuil,agatai,Akata,tomo sewi Akata
Q135500733,Agatanushi Shrine (Ibara),縣主神社 (井原市),Kuil Agatanushi (Ibara),Kuil,agatanushi,Akatanusi,tomo sewi Akatanusi
Q11608132,Agatanushi Shrine (Minokamo),縣主神社 (美濃加茂市),Kuil Agatanushi (Minokamo),Kuil,agatanushi,Akatanusi,tomo sewi Akatanusi
Q134957306,Agehari Shrine,挙張神社,Kuil Agehari,Kuil,agehari,Akepali,tomo sewi Akepali
Q117304643,Agetsuchiasahi Inari Shrine,上土朝日稲荷神社,Kuil Agetsuchiasahi Inari,Kuil,agetsuchiasahiinari,Aketusijasapinali,tomo sewi Aketusijasapinali
Q135000793,Ageōntake Shrine,上尾御嶽神社,Kuil Ageōntake,Kuil,ageōntake,Akejontake,tomo sewi Akejontake
Q134956716,Ago Shrine,安居神社,Kuil Ago,Kuil,ago,Ako,tomo sewi Ako
Q11655187,Aguchi Shrine,開口神社,Kuil Aguchi,Kuil,aguchi,Akusi,tomo sewi Akusi
Q85884332,Aguma Shrine,阿具麻神社,Kuil Aguma,Kuil,aguma,Akuma,tomo sewi Akuma
Q712617,Akama Jingū,赤間神宮,Kuil Agung Akama,Kuil Agung,akama,Akama,tomo sewi suli Akama
Q246479,Ikoma Shrine,往馬坐伊古麻都比古神社,Kuil Agung Ikoma,Kuil Agung,ikoma,Ikoma,tomo sewi suli Ikoma
Q11502342,Imahie Jingū,新日吉神宮,Kuil Agung Imahie,Kuil Agung,imahie,Imapije,tomo sewi suli Imapije
Q708859,Isonokami Jingū,石上神宮,Kuil Agung Isonokami,Kuil Agung,isonokami,Isonokami,tomo sewi suli Isonokami
Q10884977,Izanagi Jingū,伊弉諾神宮,Kuil Agung Izanagi,Kuil Agung,izanagi,Isanaki,tomo sewi suli Isanaki
Q696362,Izumo Taisha,出雲大社,Kuil Agung Izumo,Kuil Agung,izumo,Isumo,tomo sewi suli Isumo
Q10896675,Izumo-daijingū,出雲大神宮,Kuil Agung Izumo,Kuil Agung,izumo,Isumo,tomo sewi suli Isumo
Q704695,Kagoshima Jingū,鹿児島神宮,Kuil Agung Kagoshima,Kuil Agung,kagoshima,Kakosima,tomo sewi suli Kakosima
Q10893844,Kantō Jingū,関東神宮,Kuil Agung Kanto,Kuil Agung,kanto,Kanto,tomo sewi suli Kanto
Q710333,Kashihara Jingū,橿原神宮,Kuil Agung Kashihara,Kuil Agung,kashihara,Kasipala,tomo sewi suli Kasipala
Q706499,Kashima Jingū,鹿島神宮,Kuil Agung Kashima,Kuil Agung,kashima,Kasima,tomo sewi suli Kasima
Q372380,Katori Jingū,香取神宮,Kuil Agung Katori,Kuil Agung,katori,Katoli,tomo sewi suli Katoli
Q11129346,Kehi Jingū,氣比神宮,Kuil Agung Kehi,Kuil Agung,kehi,Kepi,tomo sewi suli Kepi
Q704622,Kirishima Jingū,霧島神宮,Kuil Agung Kirishima,Kuil Agung,kirishima,Kilisima,tomo sewi suli Kilisima
Q715647,Kōra Taisha,高良大社,Kuil Agung Kora,Kuil Agung,kora,Kola,tomo sewi suli Kola
Q11568887,Kumano Taisha,熊野大社,Kuil Agung Kumano,Kuil Agung,kumano,Kumano,tomo sewi suli Kumano
Q335618,Kumano Hayatama Taisha,熊野速玉大社,Kuil Agung Kumano Hayatama,Kuil Agung,kumanohayatama,Kumanopajatama,tomo sewi suli Kumanopajatama
Q705035,Kumano Hongū Taisha,熊野本宮大社,Kuil Agung Kumano Hongu,Kuil Agung,kumanohongu,Kumanoponku,tomo sewi suli Kumanoponku
Q710359,Kumano Nachi Taisha,熊野那智大社,Kuil Agung Kumano Nachi,Kuil Agung,kumanonachi,Kumanonasi,tomo sewi suli Kumanonasi
Q710302,Matsunoo Taisha,松尾大社,Kuil Agung Matsunoo,Kuil Agung,matsunoo,Matuno,tomo sewi suli Matuno
Q287165,Meiji Jingū,明治神宮,Kuil Agung Meiji,Kuil Agung,meiji,Mesi,tomo sewi suli Mesi
Q705121,Minase Jingū,水無瀬神宮,Kuil Agung Minase,Kuil Agung,minase,Minase,tomo sewi suli Minase
Q650772,Mishima Taisha,三嶋大社,Kuil Agung Mishima,Kuil Agung,mishima,Misima,tomo sewi suli Misima
Q704686,Miyazaki Jingū,宮﨑神宮,Kuil Agung Miyazaki,Kuil Agung,miyazaki,Mijasaki,tomo sewi suli Mijasaki
Q704962,Munakata Taisha,宗像大社,Kuil Agung Munakata,Kuil Agung,munakata,Munakata,tomo sewi suli Munakata
Q385407,Ōmi Jingū,近江神宮,Kuil Agung Omi,Kuil Agung,omi,Omi,tomo sewi suli Omi
Q705151,Ōtori Taisha,大鳥大社,Kuil Agung Otori,Kuil Agung,otori,Otoli,tomo sewi suli Otoli
Q705635,Shiramine Jingū,白峯神宮,Kuil Agung Shiramine,Kuil Agung,shiramine,Silamine,tomo sewi suli Silamine
Q705949,Sumiyoshi Taisha,住吉大社,Kuil Agung Sumiyoshi,Kuil Agung,sumiyoshi,Sumijosi,tomo sewi suli Sumijosi
Q218813,Suwa taisha,諏訪大社,Kuil Agung Suwa,Kuil Agung,suwa,Suwa,tomo sewi suli Suwa
Q116140,Tado Taisha,多度大社,Kuil Agung Tado,Kuil Agung,tado,Tato,tomo sewi suli Tato
Q402091,Taga Taisha,多賀大社,Kuil Agung Taga,Kuil Agung,taga,Taka,tomo sewi suli Taka
Q708921,Taiwan Grand Shrine,台湾神宮,Kuil Agung Taiwan,Kuil Agung,taiwan,Tawan,tomo sewi suli Tawan
Q403338,Takebe taisha,建部大社,Kuil Agung Takebe,Kuil Agung,takebe,Takepe,tomo sewi suli Takepe
Q3541617,Tsubaki Grand Shrine,椿大神社,Kuil Agung Tsubaki,Kuil Agung,tsubaki,Tupaki,tomo sewi suli Tupaki
Q840967,Tsubaki Grand Shrine of America,アメリカ椿大神社,Kuil Agung Tsubaki Amerika,Kuil Agung,tsubakiamerika,Tupakijamelika,tomo sewi suli Tupakijamelika
Q704430,Udo Jingū,鵜戸神宮,Kuil Agung Udo,Kuil Agung,udo,Uto,tomo sewi suli Uto
Q276781,Umenomiya Taisha,梅宮大社,Kuil Agung Umenomiya,Kuil Agung,umenomiya,Umenomija,tomo sewi suli Umenomija
Q715632,Usa Jingū,宇佐神宮,Kuil Agung Usa,Kuil Agung,usa,Usa,tomo sewi suli Usa
Q11414497,Yoshino Jingū,吉野神宮,Kuil Agung Yoshino,Kuil Agung,yoshino,Josino,tomo sewi suli Josino
